#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,
Country,Time,Sector,Total energy,Oil products,Heavy fuel oil,Light fuel oil,Automotive diesel,Unleaded gasoline,Natural gas,Coal,Electricity
OECD Total,Q1-1978,Real index for industry and households,78.99383843,77.24562654,,,,,90.43433423,67.23699868,89.16570103
,,Real index for industry,69.57254505,56.19279634,53.36638695,57.55629174,58.92992985,,95.10104953,73.24195524,82.01029378
,,Real index for households,89.04603218,89.09256557,,57.46375704,68.29450384,96.28077556,83.64855286,22.40609353,100.3366581
,,Nominal index for industry and households,27.69640729,25.50830562,,,,,29.57928298,34.3535749,33.57577515
,,Nominal index for industry,29.21331629,24.19075811,24.07759055,24.90588851,24.23307074,,34.1706039,38.0777402,35.42729953
,,Nominal index for households,26.07791791,26.24972162,,19.28759366,22.16792345,27.63495024,22.90313114,6.550259506,30.68519201
,Q2-1978,Real index for industry and households,79.15085001,75.27288903,,,,,88.37159872,78.63840748,91.89746806
,,Real index for industry,70.49311465,54.56192208,51.09104452,55.84395253,57.47381967,,93.02410632,86.22236695,83.76742532
,,Real index for households,88.3883538,86.92745331,,56.1570071,66.96232858,93.88746608,81.6064765,22.0192189,104.5900173
,,Nominal index for industry and households,28.25163562,25.31403465,,,,,29.60003174,38.71894248,34.97961022
,,Nominal index for industry,29.96375103,23.83264869,23.1173376,24.68377779,24.14178467,,34.20536231,43.02199186,36.58791953
,,Nominal index for households,26.42486778,26.14764652,,19.18363965,22.25725175,27.52757398,22.90350872,6.593880956,32.46873229
,Q3-1978,Real index for industry and households,78.20855494,73.86286123,,,,,86.86577339,78.35077278,91.82596105
,,Real index for industry,69.60529865,53.30743536,49.36791786,54.22918174,56.43940189,,91.60715561,85.80473572,83.36106264
,,Real index for households,87.38793145,85.42989876,,55.14494171,66.41617956,92.26499185,79.97142027,22.70209285,105.0412839
,,Nominal index for industry and households,28.31865146,25.18549214,,,,,29.61854129,38.84364745,35.39783393
,,Nominal index for industry,29.92011375,23.48183019,22.43766359,24.27275418,23.9685765,,34.2063735,43.11990074,36.81914756
,,Nominal index for households,26.60994666,26.14418412,,19.09438798,22.37749738,27.55007946,22.94746231,6.918636177,33.17889194
,Q4-1978,Real index for industry and households,77.15836417,73.29686908,,,,,84.96172786,77.91258674,89.75384852
,,Real index for industry,68.83776477,53.63805232,48.86759153,55.5716846,56.91934475,,89.64065803,85.28813493,81.33519395
,,Real index for households,86.03615558,84.35936289,,57.64198441,65.96323922,90.51024953,78.15818508,22.8493239,102.8969759
,,Nominal index for industry and households,28.42527482,25.41063732,,,,,29.58105988,38.99791911,35.2308821
,,Nominal index for industry,30.04789991,23.84252694,22.25722852,25.3223158,24.50005421,,34.2029189,43.28102707,36.58263578
,,Nominal index for households,26.69399005,26.29305113,,20.36813023,22.55555149,27.51693321,22.86050316,7.021733259,33.12053649
,Q1-1979,Real index for industry and households,82.71635101,83.16820459,,,,,93.71226104,78.32354969,88.72458872
,,Real index for industry,71.08796512,55.52922774,49.09412482,61.36569461,58.44198777,,99.41098069,85.46445547,83.12541625
,,Real index for households,95.87608343,100.1143169,,60.82400007,66.82599743,109.2135869,85.41430279,23.24936204,97.54522874
,,Nominal index for industry and households,31.03891918,29.16495109,,,,,33.46796463,40.89678714,35.90400305
,,Nominal index for industry,31.77912547,25.28993388,22.53074989,29.4140574,25.76411559,,38.96854119,45.19249425,38.23353611
,,Nominal index for households,30.20123486,31.54081606,,22.4599225,23.22090191,33.56593349,25.45852439,7.766175049,32.23417993
,Q2-1979,Real index for industry and households,83.56954338,84.73768004,,,,,91.01389707,77.57971974,89.40942524
,,Real index for industry,72.50524028,59.87430236,54.03856564,66.73375486,62.88722804,,96.65406052,84.7123884,82.41451194
,,Real index for households,96.09090874,99.98200669,,68.72839599,71.06391469,107.5262205,82.80120307,22.56906088,100.4288415
,,Nominal index for industry and households,32.33875455,31.02840716,,,,,33.4128308,41.2986544,36.92220445
,,Nominal index for industry,33.22137967,28.15873159,25.81356529,32.46202878,28.62638793,,38.84971316,45.64739643,38.79832928
,,Nominal index for households,31.3398962,32.78787333,,26.22490309,25.54777906,34.37062423,25.49613626,7.759010807,33.96665668
,Q3-1979,Real index for industry and households,85.76937567,88.87089151,,,,,88.83235661,76.24844339,90.47292592
,,Real index for industry,75.22633147,67.18506404,63.50427175,72.5128655,70.0064533,,94.05131737,83.09744383,82.71889835
,,Real index for households,97.70083734,102.1669868,,80.97923565,83.77588417,107.6082044,81.23297972,23.42557368,102.6882106
,,Nominal index for industry and households,34.3760325,34.31823821,,,,,33.51489717,41.5774652,38.20841974
,,Nominal index for industry,35.56304746,33.25955362,32.91866382,35.6824456,33.32216922,,38.78191766,45.88952748,39.88659515
,,Nominal index for households,33.03269909,34.96734285,,31.79179375,31.13283815,35.89056482,25.84554008,8.320714002,35.564711
