#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,
Country,Time,Product,Sector,Total tax (USD/unit),Total price (USD/unit),Total tax (USD/toe NCV),Total price (USD/toe NCV),Total tax (USD/unit using PPP),Total price (USD/unit using PPP)
OECD Total,Q1-1978,High sulphur fuel oil (tonne),Industry,..,95.704517,..,98.393843,..,..
,,,Households,..,..,..,..,..,..
,,,Electricity generation,..,89.6956,..,90.987587,..,..
,,Low sulphur fuel oil (tonne),Households,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Light fuel oil (1000 litres),Industry,..,118.717508,..,135.716148,..,..
,,,Households,..,142.055473,..,161.81173,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Automotive diesel (litre),Industry,..,0.267629,..,307.066872,..,..
,,,Households,..,0.230218,..,266.574259,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium unleaded 98 RON (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium unleaded 95 RON (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Regular unleaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Households,..,0.441784,..,529.33565,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium leaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Regular leaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Liquefied petroleum gas (litre),,..,..,..,..,..,..
,,Natural gas (MWh),Industry,..,5.388027,..,69.62535,..,..
,,,Households,..,9.315197,..,120.373152,..,..
,,,Electricity generation,..,7.079269,..,91.479972,..,..
,,Steam coal (tonne),Industry,..,39.948082,..,61.68681,..,..
,,,Households,..,95.895022,..,163.458292,..,..
,,,Electricity generation,..,31.294618,..,51.490599,..,..
,,Coking coal (tonne),Industry,..,43.453876,..,61.643072,..,..
,,,Households,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Electricity (MWh),Industry,..,29.051588,..,337.809164,..,..
,,,Households,..,44.32519,..,515.409187,..,..
,,,Electricity generation,..,..,..,..,..,..
,Q2-1978,High sulphur fuel oil (tonne),Industry,..,93.287629,..,95.909039,..,..
,,,Households,..,..,..,..,..,..
,,,Electricity generation,..,88.828565,..,90.108064,..,..
,,Low sulphur fuel oil (tonne),Households,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Light fuel oil (1000 litres),Industry,..,118.298962,..,135.237673,..,..
,,,Households,..,141.59178,..,161.283549,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Automotive diesel (litre),Industry,..,0.264817,..,303.839814,..,..
,,,Households,..,0.232952,..,269.740135,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium unleaded 98 RON (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium unleaded 95 RON (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Regular unleaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Households,..,0.457506,..,548.173658,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Premium leaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Regular leaded gasoline (litre),Industry,..,..,..,..,..,..
,,,Electricity generation,..,..,..,..,..,..
,,Liquefied petroleum gas (litre),,..,..,..,..,..,..
